site_id;nature;nom_prodcartofriches;site_id_ok;TEST
81105_16262;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16262;OK
81105_16252;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16252;OK
81105_16254;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16254;OK
81105_16263;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16263;OK
81105_16256;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16256;OK
81105_20754;observatoire local;Région Occitanie;81105_20754;OK
81105_16257;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16257;OK
81105_16258;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16258;OK
81291_16429;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81291_16429;OK
57606_23315;observatoire local;EPF Grand Est;57606_23315;OK
81105_16259;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16259;OK
81105_16261;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16261;OK
34187_14411;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;34187_14411;OK
81105_16264;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16264;OK
81105_16270;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16270;OK
81105_16265;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16265;OK
81105_16266;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16266;OK
81105_16267;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16267;OK
81105_16269;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16269;OK
81105_16271;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16271;OK
81285_16385;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81285_16385;OK
81105_16273;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16273;OK
81105_16274;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81105_16274;OK
67462_11797;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;67462_11797;OK
03179_13459;MTE;Friche étude Ademe 2021;03179_13459;OK
82110_6493;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;82110_6493;OK
82142_3098;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;82142_3098;OK
57672_24010;observatoire local;EPF Grand Est;57672_24010;OK
32132_7246;MTE;Friche étude Ademe 2021;32132_7246;OK
81249_16496;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81249_16496;OK
48053_16685;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;48053_16685;OK
81265_16518;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81265_16518;OK
81105_20252;observatoire local;Région Occitanie;81105_20252;OK
67462_19670;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;67462_19670;OK
81105_20408;fond friche;Appel à projet Fonds Friches;81105_20408;OK
81105_20745;observatoire local;Région Occitanie;81105_20745;OK
82072_6478;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;82072_6478;OK
82148_7136;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;82148_7136;OK
82179_10894;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;82179_10894;OK
82143_7177;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;82143_7177;OK
82020_8050;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;82020_8050;OK
30240_3123;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;30240_3123;OK
82037_10898;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;82037_10898;OK
82149_10901;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;82149_10901;OK
30263_16345;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;30263_16345;OK
82149_10903;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;82149_10903;OK
59504_5215;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59504_5215;OK
52294_5921;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;52294_5921;OK
28018_7574;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28018_7574;OK
28089_19964;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28089_19964;OK
59205_8786;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59205_8786;OK
59228_8776;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59228_8776;OK
41140_3614;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;41140_3614;OK
78380_1702;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;78380_1702;OK
59449_5406;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59449_5406;OK
59302_5896;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59302_5896;OK
59183_21072;fond friche;Appel à projet Fonds Friches;59183_21072;OK
59178_6440;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59178_6440;OK
59199_8779;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59199_8779;OK
59569_6443;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59569_6443;OK
59178_7403;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59178_7403;OK
59463_6755;MTE;Friche étude Ademe 2021;59463_6755;OK
59178_7360;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59178_7360;OK
59172_8815;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59172_8815;OK
31336_8826;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;31336_8826;OK
59647_9545;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59647_9545;OK
59402_9546;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59402_9546;OK
59273_9647;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59273_9647;OK
59172_10221;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59172_10221;OK
59359_9755;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59359_9755;OK
59002_10038;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59002_10038;OK
59630_10189;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59630_10189;OK
59630_10191;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59630_10191;OK
59205_10226;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59205_10226;OK
59185_10227;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59185_10227;OK
2B072_10568;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;2B072_10568;OK
2B042_14021;MTE;Friche étude Ademe 2021;2B042_14021;OK
2B058_10501;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;2B058_10501;OK
2B166_10569;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;2B166_10569;OK
03191_11316;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;03191_11316;OK
2B083_13306;MTE;Friche étude Ademe 2021;2B083_13306;OK
2B143_2211;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B143_2211;OK
2B347_13319;MTE;Friche étude Ademe 2021;2B347_13319;OK
2A254_13753;MTE;Friche étude Ademe 2021;2A254_13753;OK
2B265_13540;MTE;Friche étude Ademe 2021;2B265_13540;OK
34065_14450;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;34065_14450;OK
2B169_13544;MTE;Friche étude Ademe 2021;2B169_13544;OK
31017_2442;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;31017_2442;OK
2B047_13542;MTE;Friche étude Ademe 2021;2B047_13542;OK
31457_2220;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;31457_2220;OK
2B025_13767;MTE;Friche étude Ademe 2021;2B025_13767;OK
60126_2383;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60126_2383;OK
2B155_13546;MTE;Friche étude Ademe 2021;2B155_13546;OK
2B148_13639;MTE;Friche étude Ademe 2021;2B148_13639;OK
2B238_13771;MTE;Friche étude Ademe 2021;2B238_13771;OK
31451_5049;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;31451_5049;OK
2B112_13773;MTE;Friche étude Ademe 2021;2B112_13773;OK
41290_4355;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;41290_4355;OK
2B257_13778;MTE;Friche étude Ademe 2021;2B257_13778;OK
32028_8812;MTE;Friche étude Ademe 2021;32028_8812;OK
2B124_14014;MTE;Friche étude Ademe 2021;2B124_14014;OK
31457_1093;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;31457_1093;OK
2B080_14379;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B080_14379;OK
15120_17059;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;15120_17059;OK
2B314_14019;MTE;Friche étude Ademe 2021;2B314_14019;OK
2B193_14353;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B193_14353;OK
2B025_14449;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B025_14449;OK
35248_19878;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;35248_19878;OK
2B042_14432;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B042_14432;OK
60319_6909;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60319_6909;OK
2B230_14503;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B230_14503;OK
60123_9344;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60123_9344;OK
78311_4231;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;78311_4231;OK
60506_9343;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60506_9343;OK
2B257_14506;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B257_14506;OK
03087_987;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03087_987;OK
2B109_14547;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B109_14547;OK
2B152_15106;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B152_15106;OK
22004_20868;fond friche;Appel à projet Fonds Friches;22004_20868;OK
11198_9733;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11198_9733;OK
2B177_15333;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B177_15333;OK
2B277_15697;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B277_15697;OK
31451_15661;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;31451_15661;OK
31008_8028;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;31008_8028;OK
31336_8821;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;31336_8821;OK
19087_17352;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19087_17352;OK
58149_945;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;58149_945;OK
19027_17378;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19027_17378;OK
33190_10606;MTE;Friche étude Ademe 2021;33190_10606;OK
19103_17470;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19103_17470;OK
47292_3196;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;47292_3196;OK
58218_3562;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;58218_3562;OK
35138_19781;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;35138_19781;OK
2A160_10446;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;2A160_10446;OK
2A041_13178;retour utilisateur;Contributeur Cerema;2A041_13178;OK
2A099_10448;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;2A099_10448;OK
2B166_2737;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;2B166_2737;OK
2A041_13175;retour utilisateur;Contributeur Cerema;2A041_13175;OK
16015_170;observatoire local;Grand Angoulême;16015_170;OK
2A041_13177;retour utilisateur;Contributeur Cerema;2A041_13177;OK
41232_8405;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;41232_8405;OK
87047_9579;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;87047_9579;OK
2A282_13300;MTE;Friche étude Ademe 2021;2A282_13300;OK
2A189_13535;MTE;Friche étude Ademe 2021;2A189_13535;OK
2A191_13536;MTE;Friche étude Ademe 2021;2A191_13536;OK
2A022_14150;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;2A022_14150;OK
2A026_13765;MTE;Friche étude Ademe 2021;2A026_13765;OK
2A247_13947;MTE;Friche étude Ademe 2021;2A247_13947;OK
2A247_13987;MTE;Friche étude Ademe 2021;2A247_13987;OK
2A348_14011;MTE;Friche étude Ademe 2021;2A348_14011;OK
65206_6644;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;65206_6644;OK
2B205_1365;fond friche;Appel à projet Fonds Friches;2B205_1365;OK
31245_1831;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;31245_1831;OK
2B037_10395;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;2B037_10395;OK
31523_2163;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;31523_2163;OK
2B080_10453;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;2B080_10453;OK
31345_2168;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;31345_2168;OK
05133_10084;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;05133_10084;OK
08361_1155;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;08361_1155;OK
05053_16648;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;05053_16648;OK
05078_16651;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;05078_16651;OK
05081_16662;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;05081_16662;OK
59418_4411;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59418_4411;OK
03040_18142;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03040_18142;OK
27079_2718;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;27079_2718;OK
03012_18149;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03012_18149;OK
59466_4461;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59466_4461;OK
32256_10613;MTE;Friche étude Ademe 2021;32256_10613;OK
67116_19742;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;67116_19742;OK
33095_13208;MTE;Friche étude Ademe 2021;33095_13208;OK
28387_23085;retour utilisateur;Contribution utilisateur;28387_23085;OK
28237_19788;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28237_19788;OK
22168_5270;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22168_5270;OK
28071_19839;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28071_19839;OK
22025_19861;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22025_19861;OK
58183_18489;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;58183_18489;OK
32315_13816;MTE;Friche étude Ademe 2021;32315_13816;OK
25031_11336;fond friche;Appel à projet Fonds Friches;25031_11336;OK
59393_4407;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59393_4407;OK
59144_4413;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59144_4413;OK
59462_4447;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59462_4447;OK
44001_10730;MTE;Friche étude Ademe 2021;44001_10730;OK
32015_15536;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;32015_15536;OK
25031_18809;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;25031_18809;OK
44214_18875;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;44214_18875;OK
22138_5257;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22138_5257;OK
22025_19846;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22025_19846;OK
09225_9162;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;09225_9162;OK
12148_16693;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;12148_16693;OK
11089_6754;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11089_6754;OK
12093_7364;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;12093_7364;OK
48056_16691;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;48056_16691;OK
12209_7365;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;12209_7365;OK
12199_20548;fond friche;Appel à projet Fonds Friches;12199_20548;OK
49331_18569;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;49331_18569;OK
49021_18763;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;49021_18763;OK
19226_929;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19226_929;OK
02722_1633;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;02722_1633;OK
19015_4597;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19015_4597;OK
60250_2360;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60250_2360;OK
19288_17088;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19288_17088;OK
19015_17064;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19015_17064;OK
59149_15875;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59149_15875;OK
35237_7288;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;35237_7288;OK
03259_13262;MTE;Friche étude Ademe 2021;03259_13262;OK
03135_13432;MTE;Friche étude Ademe 2021;03135_13432;OK
47082_11189;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;47082_11189;OK
